"New Main Group"; ; ;"14/-/-"
 ;"New Middle Group"; ;"14/0/-"
 ; ;"temp";"14/0/1"
 ; ;"temp 2";"14/0/2"
 ; ;"setpoint";"14/0/3"
 ; ;"regulator";"14/0/4"
 ; ;"setpoint";"14/0/5"
"commandes generales"; ; ;"15/-/-"
 ;"Nouveau groupe médian"; ;"15/0/-"
 ; ;"commande de nuit";"15/0/0"
 ; ;"bouton départ";"15/0/2"
 ; ;"départ porte avant";"15/0/3"
 ; ;"arret plaf + VR";"15/0/5"
 ; ;"verrou chbre enfant";"15/0/6"
